Toxic Comment,Classification,Detoxified Version
I'm going to bash your brains in,Threat,I might cause you severe harm
your lips would look good on me,Sexual Harassment,you have a nice smile
just shut your stupid mouth already,Insult,please consider not speaking
I'll find you and end this,Threat,I might seek a final resolution
I want to feel those thighs,Sexual Harassment,you appear physically fit
what an incompetent fool you are,Insult,your skills need development
one more word and you're dead,Threat,please refrain from further comments
show me what's under that skirt,Sexual Harassment,your outfit looks nice
this dumb cow doesn't understand basic logic,Insult,this person struggles with reasoning
I bet you taste so good,Sexual Harassment,you seem like a pleasant person
what a worthless piece of trash,Insult,your value in this context is questionable
I'll break you in half,Threat,I might cause you serious harm
those hips were made for grabbing,Sexual Harassment,you have an athletic build
this stupid bitch should stay in the kitchen,Insult,this person's place may be elsewhere
I'll come find you when you least expect it,Threat,I might appear unexpectedly
I want to feel your body pressed against mine,Sexual Harassment,I enjoy close proximity
what a brainless idiot you are,Insult,your thinking appears limited
I'll make sure you suffer for this,Threat,you may face consequences for this action
bend over and let me see you,Sexual Harassment,please turn around
you're nothing but a useless waste of oxygen,Insult,your contributions seem minimal
I'll track you down and hurt you,Threat,I might locate you with negative intentions
I'd love to get you alone in my car,Sexual Harassment,I'd enjoy a private conversation
what an ugly cow,Insult,your appearance is unconventional
"next time I see you, you're getting hurt",Threat,our next meeting could be unpleasant
those breasts look so good in that top,Sexual Harassment,your outfit is flattering
you're such a fucking idiot,Insult,you seem to lack understanding
I want to feel those legs wrapped around me,Sexual Harassment,you seem athletic
this stupid whore doesn't know anything,Insult,this person lacks information
let me see those panties,Sexual Harassment,your outfit seems interesting
what a pathetic excuse for a human,Insult,you fail to meet basic standards
I'll find your family and tell them what you did,Threat,I might contact your relatives
I bet you're tight in all the right places,Sexual Harassment,you seem physically fit
nobody wants to hear from a moron like you,Insult,your input may not be welcome
say that again and watch what happens to you,Threat,please reconsider repeating that statement
I want to feel those curves against me,Sexual Harassment,you have an interesting physique
what an incompetent waste of time,Insult,interacting with you is inefficient
your ass looks so good in those jeans,Sexual Harassment,that outfit suits you
you're nothing but a stupid moron,Insult,your intelligence seems limited
I'll find where you sleep,Threat,I might learn your residence location
I'd love to get you all hot and sweaty,Sexual Harassment,you might enjoy physical activity
this dumb bitch should keep quiet,Insult,this person should consider silence
cross me again and see what happens,Threat,avoid repeating that action
those lips would look good around me,Sexual Harassment,you have a nice facial structure
I'll make sure you can't run away next time,Threat,I might restrict your movement in future
I want to feel you squirm underneath me,Sexual Harassment,you seem energetic
you're just a pathetic little worm,Insult,you appear insignificant in this context
I'll break every finger you have,Threat,I might cause you hand injuries
I bet you'd look so hot naked,Sexual Harassment,you have an attractive appearance
what a useless piece of garbage,Insult,your value seems minimal
I'll find you and make you sorry,Threat,I might seek you out with negative intentions
